player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,target_line,probability,probability_grade,projected_targets,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,model_version
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,8,8,0.0,VERY LOW,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,9,9,0.0,VERY LOW,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0032104,Ameer Abdullah,JAX,NE,RB,2026,REG,3,10,10,0.0,VERY LOW,2.37,2.383,2.0,1.0,4.0,1.278,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,1,1,99.81,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,2,2,99.56,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,3,3,99.02,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,4,4,98.08,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,5,5,96.42,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,6,6,93.67,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,7,7,89.75,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,8,8,84.19,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,9,9,76.85,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0036963,Amon-Ra St. Brown,DET,NYJ,WR,2026,REG,3,10,10,67.95,ELITE,11.219,11.235,11.0,6.0,16.0,3.743,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,1,1,94.95,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,2,2,87.91,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,3,3,75.59,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,4,4,58.41,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,5,5,39.8,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,6,6,22.92,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,7,7,11.42,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,8,8,4.72,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,9,9,1.56,ELITE,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038619,Andrei Iosivas,CIN,PIT,WR,2026,REG,3,10,10,0.41,COIN FLIP,3.953,3.978,4.0,1.0,7.0,2.071,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,1,1,99.82,ELITE,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,2,2,97.66,ELITE,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,3,3,85.25,ELITE,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
